MATCHSTATE:0:243:rc/rc/rc/crrc:3s3h|9h8c/TsJcTh/Qd/4h
MATCHSTATE:1:244:crf:|Ah9d
MATCHSTATE:0:245:cc/rc/cc/cc:QcQs|7dQh/8h9d5d/Js/6d
MATCHSTATE:1:246:cc/rc/cc/rc:KdJc|QdQs/6dJhAd/4c/Tc
MATCHSTATE:0:247:rf:QsAd|
MATCHSTATE:1:248:crrrc/crc/rrc/cc:Tc5d|4dKs/4cTsJc/3d/9c
MATCHSTATE:0:249:cc/rrc/crrc/cc:7c2d|Ks5s/4sAh9h/Qc/6c
MATCHSTATE:1:250:crc/crrrc/rf:|Qd5h/Ah6dTc/Qs
MATCHSTATE:0:251:crc/rc/crc/crf:Jh4c|/3d3c2d/9d/5d
MATCHSTATE:1:252:cc/cc/cc/rrrf:|Qh5h/JhKhQc/2c/7c
MATCHSTATE:0:253:rrrf:5s4s|
MATCHSTATE:1:254:cc/cc/cc/rf:|6h7c/2hTd6d/3h/5d
MATCHSTATE:0:255:rc/cc/rc/rc:8hAd|5c8s/5h7h2h/7c/Tc
MATCHSTATE:1:256:f:|6s5d
MATCHSTATE:0:257:rf:9hJs|
MATCHSTATE:1:258:cc/rc/rrrrc/rc:6dAd|6h7s/4dTs4h/3h/Kh
MATCHSTATE:0:259:cc/cc/cc/crc:JhTc|9c4s/Qd3sTh/4c/7h
MATCHSTATE:1:260:crrrc/cc/rc/rrrrc:7h8s|5cJh/6h4d3h/Kh/7d
MATCHSTATE:0:261:cc/rc/rrf:JhKc|/3h7d9s/7c
MATCHSTATE:1:262:f:|4cKc
MATCHSTATE:0:263:rf:9d2s|
MATCHSTATE:1:264:cc/rc/rc/cc:Jd2d|4dKc/7cKd2h/9c/4s
MATCHSTATE:0:265:cc/cc/rf:QhKh|/3sJcKs/2s
MATCHSTATE:1:266:cc/cc/rf:|9d2h/3dAc5h/8c
MATCHSTATE:0:267:rf:3cTd|
MATCHSTATE:1:268:rc/rf:|9h4d/2dQsQd
MATCHSTATE:0:269:crrf:3d7s|
MATCHSTATE:1:270:rc/rc/rrrrc/cc:9s8h|AsTh/TcQcAc/5h/Ts
MATCHSTATE:0:271:rc/cc/cc/rf:JcJh|/5sTs8s/Kh/Jd
MATCHSTATE:1:272:rf:|Td5d
MATCHSTATE:0:273:cc/rc/crc/cc:7dQh|9dQd/Qc6sKh/Ad/2s
MATCHSTATE:1:274:crc/cc/crc/cc:9dKh|Tc2h/8d2dKs/As/8c
MATCHSTATE:0:275:rf:As9d|
MATCHSTATE:1:276:rc/rf:|ThAc/Tc7sKc
MATCHSTATE:0:277:rrrc/crc/crf:Ts7h|/8cThAh/8d
